year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2011,Kensington,Cafes and Restaurants,486.0,199.0,685.0
2011,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2011,Kensington,Takeaway Food Services,148.0,24.0,172.0
2011,Melbourne (CBD),Cafes and Restaurants,54969.0,11805.0,66774.0
2011,Melbourne (CBD),"Pubs, Taverns and Bars",9380.0,855.0,10235.0
2011,Melbourne (CBD),Takeaway Food Services,2658.0,1313.0,3971.0
2011,Melbourne (Remainder),Cafes and Restaurants,1858.0,1644.0,3502.0
2011,Melbourne (Remainder),Takeaway Food Services,23.0,34.0,57.0
2011,North Melbourne,Cafes and Restaurants,2150.0,496.0,2646.0
2011,North Melbourne,"Pubs, Taverns and Bars",1140.0,196.0,1336.0
2011,North Melbourne,Takeaway Food Services,232.0,86.0,318.0
2011,Parkville,Cafes and Restaurants,992.0,865.0,1857.0
2011,Parkville,"Pubs, Taverns and Bars",298.0,100.0,398.0
2011,Parkville,Takeaway Food Services,44.0,46.0,90.0
2011,Port Melbourne,Cafes and Restaurants,613.0,275.0,888.0
2011,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2011,South Yarra,Cafes and Restaurants,573.0,112.0,685.0
2011,Southbank,Cafes and Restaurants,9201.0,2583.0,11784.0
2011,Southbank,"Pubs, Taverns and Bars",375.0,60.0,435.0
2011,Southbank,Takeaway Food Services,123.0,41.0,164.0
2011,West Melbourne,Cafes and Restaurants,1374.0,270.0,1644.0
2011,West Melbourne,"Pubs, Taverns and Bars",1231.0,88.0,1319.0
2011,West Melbourne,Takeaway Food Services,122.0,48.0,170.0
2012,Carlton,Cafes and Restaurants,10269.0,3090.0,13359.0
2012,Carlton,"Pubs, Taverns and Bars",986.0,281.0,1267.0
2012,Carlton,Takeaway Food Services,240.0,196.0,436.0
2012,Docklands,Cafes and Restaurants,11978.0,3587.0,15565.0
2012,Docklands,"Pubs, Taverns and Bars",724.0,447.0,1171.0
2012,Docklands,Takeaway Food Services,144.0,74.0,218.0
2012,East Melbourne,Cafes and Restaurants,5361.0,849.0,6210.0
2012,East Melbourne,Takeaway Food Services,67.0,28.0,95.0
2012,Kensington,Cafes and Restaurants,486.0,199.0,685.0
2012,Kensington,"Pubs, Taverns and Bars",290.0,62.0,352.0
2012,Kensington,Takeaway Food Services,148.0,24.0,172.0
2012,Melbourne (CBD),Cafes and Restaurants,56384.0,12282.0,68666.0
2012,Melbourne (CBD),"Pubs, Taverns and Bars",9346.0,1053.0,10399.0
2012,Melbourne (CBD),Takeaway Food Services,2455.0,1088.0,3543.0
2012,Melbourne (Remainder),Cafes and Restaurants,1858.0,1644.0,3502.0
2012,Melbourne (Remainder),Takeaway Food Services,23.0,34.0,57.0
2012,North Melbourne,Cafes and Restaurants,2303.0,500.0,2803.0
2012,North Melbourne,"Pubs, Taverns and Bars",985.0,163.0,1148.0
2012,North Melbourne,Takeaway Food Services,259.0,99.0,358.0
2012,Parkville,Cafes and Restaurants,1122.0,819.0,1941.0
2012,Parkville,"Pubs, Taverns and Bars",180.0,100.0,280.0
2012,Parkville,Takeaway Food Services,46.0,45.0,91.0
2012,Port Melbourne,Cafes and Restaurants,613.0,275.0,888.0
2012,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2012,South Yarra,Cafes and Restaurants,573.0,112.0,685.0
2012,Southbank,Cafes and Restaurants,9201.0,2583.0,11784.0
2012,Southbank,"Pubs, Taverns and Bars",375.0,60.0,435.0
2012,Southbank,Takeaway Food Services,123.0,41.0,164.0
2012,West Melbourne,Cafes and Restaurants,1439.0,333.0,1772.0
2012,West Melbourne,"Pubs, Taverns and Bars",1094.0,100.0,1194.0
2012,West Melbourne,Takeaway Food Services,100.0,47.0,147.0
2013,Carlton,Cafes and Restaurants,10269.0,3090.0,13359.0
2013,Carlton,"Pubs, Taverns and Bars",986.0,281.0,1267.0
2013,Carlton,Takeaway Food Services,240.0,196.0,436.0
2013,Docklands,Cafes and Restaurants,11978.0,3587.0,15565.0
2013,Docklands,"Pubs, Taverns and Bars",724.0,447.0,1171.0
2013,Docklands,Takeaway Food Services,144.0,74.0,218.0
2013,East Melbourne,Cafes and Restaurants,5361.0,849.0,6210.0
2013,East Melbourne,Takeaway Food Services,67.0,28.0,95.0
2013,Kensington,Cafes and Restaurants,741.0,275.0,1016.0
2013,Kensington,"Pubs, Taverns and Bars",375.0,143.0,518.0
2013,Kensington,Takeaway Food Services,85.0,18.0,103.0
2013,Melbourne (CBD),Cafes and Restaurants,59777.0,13012.0,72789.0
2013,Melbourne (CBD),"Pubs, Taverns and Bars",9459.0,1182.0,10641.0
2013,Melbourne (CBD),Takeaway Food Services,2221.0,831.0,3052.0
2013,Melbourne (Remainder),Cafes and Restaurants,1971.0,1795.0,3766.0
2013,Melbourne (Remainder),Takeaway Food Services,24.0,32.0,56.0
2013,North Melbourne,Cafes and Restaurants,2303.0,500.0,2803.0
2013,North Melbourne,"Pubs, Taverns and Bars",985.0,163.0,1148.0
2013,North Melbourne,Takeaway Food Services,259.0,99.0,358.0
2013,Parkville,Cafes and Restaurants,1122.0,819.0,1941.0
2013,Parkville,"Pubs, Taverns and Bars",180.0,100.0,280.0
2013,Parkville,Takeaway Food Services,46.0,45.0,91.0
2013,Port Melbourne,Cafes and Restaurants,599.0,339.0,938.0
2013,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2013,South Yarra,Cafes and Restaurants,531.0,114.0,645.0
2013,Southbank,Cafes and Restaurants,13410.0,3852.0,17262.0
2013,Southbank,"Pubs, Taverns and Bars",383.0,60.0,443.0
2013,Southbank,Takeaway Food Services,124.0,31.0,155.0
2013,West Melbourne,Cafes and Restaurants,1439.0,333.0,1772.0
2013,West Melbourne,"Pubs, Taverns and Bars",1094.0,100.0,1194.0
2013,West Melbourne,Takeaway Food Services,100.0,47.0,147.0
2014,Carlton,Cafes and Restaurants,10197.0,3496.0,13693.0
2014,Carlton,"Pubs, Taverns and Bars",826.0,294.0,1120.0
2014,Carlton,Takeaway Food Services,256.0,203.0,459.0
2014,Docklands,Cafes and Restaurants,14208.0,3617.0,17825.0
2014,Docklands,"Pubs, Taverns and Bars",1132.0,555.0,1687.0
2014,Docklands,Takeaway Food Services,250.0,106.0,356.0
2014,East Melbourne,Cafes and Restaurants,5479.0,828.0,6307.0
2014,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2014,East Melbourne,Takeaway Food Services,58.0,27.0,85.0
2014,Kensington,Cafes and Restaurants,741.0,275.0,1016.0
2014,Kensington,"Pubs, Taverns and Bars",375.0,143.0,518.0
2014,Kensington,Takeaway Food Services,85.0,18.0,103.0
2014,Melbourne (CBD),Cafes and Restaurants,63244.0,13161.0,76405.0
2014,Melbourne (CBD),"Pubs, Taverns and Bars",9224.0,1406.0,10630.0
2014,Melbourne (CBD),Takeaway Food Services,2571.0,851.0,3422.0
2014,Melbourne (Remainder),Cafes and Restaurants,1971.0,1795.0,3766.0
2014,Melbourne (Remainder),Takeaway Food Services,24.0,32.0,56.0
2014,North Melbourne,Cafes and Restaurants,2597.0,641.0,3238.0
2014,North Melbourne,"Pubs, Taverns and Bars",955.0,145.0,1100.0
2014,North Melbourne,Takeaway Food Services,237.0,92.0,329.0
2014,Parkville,Cafes and Restaurants,1530.0,1014.0,2544.0
2014,Parkville,"Pubs, Taverns and Bars",340.0,136.0,476.0
2014,Parkville,Takeaway Food Services,117.0,66.0,183.0
2014,Port Melbourne,Cafes and Restaurants,599.0,339.0,938.0
2014,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2014,South Yarra,Cafes and Restaurants,531.0,114.0,645.0
2014,Southbank,Cafes and Restaurants,13410.0,3852.0,17262.0
2014,Southbank,"Pubs, Taverns and Bars",383.0,60.0,443.0
2014,Southbank,Takeaway Food Services,124.0,31.0,155.0
2014,West Melbourne,Cafes and Restaurants,1394.0,320.0,1714.0
2014,West Melbourne,"Pubs, Taverns and Bars",1021.0,140.0,1161.0
2014,West Melbourne,Takeaway Food Services,163.0,42.0,205.0
2015,Carlton,Cafes and Restaurants,10197.0,3496.0,13693.0
2015,Carlton,"Pubs, Taverns and Bars",826.0,294.0,1120.0
2015,Carlton,Takeaway Food Services,256.0,203.0,459.0
2015,Docklands,Cafes and Restaurants,14208.0,3617.0,17825.0
2015,Docklands,"Pubs, Taverns and Bars",1132.0,555.0,1687.0
2015,Docklands,Takeaway Food Services,250.0,106.0,356.0
2015,East Melbourne,Cafes and Restaurants,5479.0,828.0,6307.0
2015,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2015,East Melbourne,Takeaway Food Services,58.0,27.0,85.0
2015,Kensington,Cafes and Restaurants,940.0,306.0,1246.0
2015,Kensington,"Pubs, Taverns and Bars",345.0,131.0,476.0
2015,Kensington,Takeaway Food Services,73.0,12.0,85.0
2015,Melbourne (CBD),Cafes and Restaurants,64246.0,13262.0,77508.0
2015,Melbourne (CBD),"Pubs, Taverns and Bars",9453.0,1604.0,11057.0
2015,Melbourne (CBD),Takeaway Food Services,2638.0,1014.0,3652.0
2015,Melbourne (Remainder),Cafes and Restaurants,2184.0,1276.0,3460.0
2015,Melbourne (Remainder),"Pubs, Taverns and Bars",140.0,800.0,940.0
2015,Melbourne (Remainder),Takeaway Food Services,31.0,39.0,70.0
2015,North Melbourne,Cafes and Restaurants,2597.0,641.0,3238.0
2015,North Melbourne,"Pubs, Taverns and Bars",955.0,145.0,1100.0
2015,North Melbourne,Takeaway Food Services,237.0,92.0,329.0
2015,Parkville,Cafes and Restaurants,1530.0,1014.0,2544.0
2015,Parkville,"Pubs, Taverns and Bars",340.0,136.0,476.0
2015,Parkville,Takeaway Food Services,117.0,66.0,183.0
2015,Port Melbourne,Cafes and Restaurants,597.0,330.0,927.0
2015,Port Melbourne,"Pubs, Taverns and Bars",52.0,24.0,76.0
2015,South Yarra,Cafes and Restaurants,613.0,136.0,749.0
2015,Southbank,Cafes and Restaurants,13452.0,4162.0,17614.0
2015,Southbank,"Pubs, Taverns and Bars",743.0,240.0,983.0
2015,Southbank,Takeaway Food Services,163.0,27.0,190.0
2015,West Melbourne,Cafes and Restaurants,1394.0,320.0,1714.0
2015,West Melbourne,"Pubs, Taverns and Bars",1021.0,140.0,1161.0
2015,West Melbourne,Takeaway Food Services,163.0,42.0,205.0
2016,Carlton,Cafes and Restaurants,11515.0,3583.0,15098.0
2016,Carlton,"Pubs, Taverns and Bars",1018.0,278.0,1296.0
2016,Carlton,Takeaway Food Services,300.0,277.0,577.0
2016,Docklands,Cafes and Restaurants,15398.0,3842.0,19240.0
2016,Docklands,"Pubs, Taverns and Bars",1098.0,555.0,1653.0
2016,Docklands,Takeaway Food Services,328.0,202.0,530.0
2016,East Melbourne,Cafes and Restaurants,5688.0,788.0,6476.0
2016,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2016,East Melbourne,Takeaway Food Services,63.0,113.0,176.0
2016,Kensington,Cafes and Restaurants,940.0,306.0,1246.0
2016,Kensington,"Pubs, Taverns and Bars",345.0,131.0,476.0
2016,Kensington,Takeaway Food Services,73.0,12.0,85.0
2016,Melbourne (CBD),Cafes and Restaurants,64454.0,13444.0,77898.0
2016,Melbourne (CBD),"Pubs, Taverns and Bars",9787.0,1814.0,11601.0
2016,Melbourne (CBD),Takeaway Food Services,2598.0,987.0,3585.0
2016,Melbourne (Remainder),Cafes and Restaurants,2184.0,1276.0,3460.0
2016,Melbourne (Remainder),"Pubs, Taverns and Bars",140.0,800.0,940.0
2016,Melbourne (Remainder),Takeaway Food Services,31.0,39.0,70.0
2016,North Melbourne,Cafes and Restaurants,2957.0,682.0,3639.0
2016,North Melbourne,"Pubs, Taverns and Bars",887.0,171.0,1058.0
2016,North Melbourne,Takeaway Food Services,243.0,111.0,354.0
2016,Parkville,Cafes and Restaurants,1960.0,973.0,2933.0
2016,Parkville,"Pubs, Taverns and Bars",120.0,40.0,160.0
2016,Parkville,Takeaway Food Services,136.0,327.0,463.0
2016,Port Melbourne,Cafes and Restaurants,597.0,330.0,927.0
2016,Port Melbourne,"Pubs, Taverns and Bars",52.0,24.0,76.0
2016,South Yarra,Cafes and Restaurants,613.0,136.0,749.0
2016,Southbank,Cafes and Restaurants,13452.0,4162.0,17614.0
2016,Southbank,"Pubs, Taverns and Bars",743.0,240.0,983.0
2016,Southbank,Takeaway Food Services,163.0,27.0,190.0
2016,West Melbourne,Cafes and Restaurants,1004.0,296.0,1300.0
2016,West Melbourne,"Pubs, Taverns and Bars",919.0,151.0,1070.0
2016,West Melbourne,Takeaway Food Services,116.0,36.0,152.0
2017,Carlton,Cafes and Restaurants,11515.0,3583.0,15098.0
2017,Carlton,"Pubs, Taverns and Bars",1018.0,278.0,1296.0
2017,Carlton,Takeaway Food Services,300.0,277.0,577.0
2017,Docklands,Cafes and Restaurants,15398.0,3842.0,19240.0
2017,Docklands,"Pubs, Taverns and Bars",1098.0,555.0,1653.0
2017,Docklands,Takeaway Food Services,328.0,202.0,530.0
2017,East Melbourne,Cafes and Restaurants,5688.0,788.0,6476.0
2017,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2017,East Melbourne,Takeaway Food Services,63.0,113.0,176.0
2017,Kensington,Cafes and Restaurants,971.0,278.0,1249.0
2017,Kensington,"Pubs, Taverns and Bars",315.0,131.0,446.0
2017,Kensington,Takeaway Food Services,101.0,28.0,129.0
2017,Melbourne (CBD),Cafes and Restaurants,65294.0,13466.0,78760.0
2017,Melbourne (CBD),"Pubs, Taverns and Bars",9643.0,1736.0,11379.0
2017,Melbourne (CBD),Takeaway Food Services,2765.0,988.0,3753.0
2017,Melbourne (Remainder),Cafes and Restaurants,1975.0,1156.0,3131.0
2017,Melbourne (Remainder),Takeaway Food Services,37.0,37.0,74.0
2017,North Melbourne,Cafes and Restaurants,2957.0,682.0,3639.0
2017,North Melbourne,"Pubs, Taverns and Bars",887.0,171.0,1058.0
2017,North Melbourne,Takeaway Food Services,243.0,111.0,354.0
2017,Parkville,Cafes and Restaurants,1960.0,973.0,2933.0
2017,Parkville,"Pubs, Taverns and Bars",120.0,40.0,160.0
2017,Parkville,Takeaway Food Services,136.0,327.0,463.0
2017,Port Melbourne,Cafes and Restaurants,759.0,348.0,1107.0
2017,South Yarra,Cafes and Restaurants,613.0,136.0,749.0
2017,Southbank,Cafes and Restaurants,14090.0,4046.0,18136.0
2017,Southbank,"Pubs, Taverns and Bars",743.0,290.0,1033.0
2017,Southbank,Takeaway Food Services,152.0,16.0,168.0
2017,West Melbourne,Cafes and Restaurants,1004.0,296.0,1300.0
2017,West Melbourne,"Pubs, Taverns and Bars",919.0,151.0,1070.0
2017,West Melbourne,Takeaway Food Services,116.0,36.0,152.0
2018,Carlton,Cafes and Restaurants,10330.0,3375.0,13705.0
2018,Carlton,"Pubs, Taverns and Bars",788.0,210.0,998.0
2018,Carlton,Takeaway Food Services,349.0,196.0,545.0
2018,Docklands,Cafes and Restaurants,14719.0,3699.0,18418.0
2018,Docklands,"Pubs, Taverns and Bars",1098.0,555.0,1653.0
2018,Docklands,Takeaway Food Services,333.0,159.0,492.0
2018,East Melbourne,Cafes and Restaurants,5600.0,699.0,6299.0
2018,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2018,East Melbourne,Takeaway Food Services,73.0,105.0,178.0
2018,Kensington,Cafes and Restaurants,971.0,278.0,1249.0
2018,Kensington,"Pubs, Taverns and Bars",315.0,131.0,446.0
2018,Kensington,Takeaway Food Services,101.0,28.0,129.0
2018,Melbourne (CBD),Cafes and Restaurants,65495.0,12207.0,77702.0
2018,Melbourne (CBD),"Pubs, Taverns and Bars",9394.0,1598.0,10992.0
2018,Melbourne (CBD),Takeaway Food Services,2862.0,1010.0,3872.0
2018,Melbourne (Remainder),Cafes and Restaurants,1975.0,1156.0,3131.0
2018,Melbourne (Remainder),Takeaway Food Services,37.0,37.0,74.0
2018,North Melbourne,Cafes and Restaurants,3027.0,672.0,3699.0
2018,North Melbourne,"Pubs, Taverns and Bars",843.0,107.0,950.0
2018,North Melbourne,Takeaway Food Services,217.0,115.0,332.0
2018,Parkville,Cafes and Restaurants,2158.0,854.0,3012.0
2018,Parkville,"Pubs, Taverns and Bars",120.0,40.0,160.0
2018,Parkville,Takeaway Food Services,88.0,432.0,520.0
2018,Port Melbourne,Cafes and Restaurants,759.0,348.0,1107.0
2018,South Yarra,Cafes and Restaurants,613.0,136.0,749.0
2018,Southbank,Cafes and Restaurants,14090.0,4046.0,18136.0
2018,Southbank,"Pubs, Taverns and Bars",743.0,290.0,1033.0
2018,Southbank,Takeaway Food Services,152.0,16.0,168.0
2018,West Melbourne,Cafes and Restaurants,1212.0,325.0,1537.0
2018,West Melbourne,"Pubs, Taverns and Bars",929.0,163.0,1092.0
2018,West Melbourne,Takeaway Food Services,157.0,38.0,195.0
2019,Carlton,Cafes and Restaurants,10330.0,3375.0,13705.0
2019,Carlton,"Pubs, Taverns and Bars",788.0,210.0,998.0
2019,Carlton,Takeaway Food Services,349.0,196.0,545.0
2019,Docklands,Cafes and Restaurants,14719.0,3699.0,18418.0
2019,Docklands,"Pubs, Taverns and Bars",1098.0,555.0,1653.0
2019,Docklands,Takeaway Food Services,333.0,159.0,492.0
2019,East Melbourne,Cafes and Restaurants,5600.0,699.0,6299.0
2019,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2019,East Melbourne,Takeaway Food Services,73.0,105.0,178.0
2019,Kensington,Cafes and Restaurants,965.0,263.0,1228.0
2019,Kensington,"Pubs, Taverns and Bars",315.0,268.0,583.0
2019,Kensington,Takeaway Food Services,92.0,20.0,112.0
2019,Melbourne (CBD),Cafes and Restaurants,65032.0,11706.0,76738.0
2019,Melbourne (CBD),"Pubs, Taverns and Bars",9094.0,1608.0,10702.0
2019,Melbourne (CBD),Takeaway Food Services,2834.0,970.0,3804.0
2019,Melbourne (Remainder),Cafes and Restaurants,1896.0,1212.0,3108.0
2019,Melbourne (Remainder),Takeaway Food Services,27.0,30.0,57.0
2019,North Melbourne,Cafes and Restaurants,3027.0,672.0,3699.0
2019,North Melbourne,"Pubs, Taverns and Bars",843.0,107.0,950.0
2019,North Melbourne,Takeaway Food Services,217.0,115.0,332.0
2019,Parkville,Cafes and Restaurants,2158.0,854.0,3012.0
2019,Parkville,"Pubs, Taverns and Bars",120.0,40.0,160.0
2019,Parkville,Takeaway Food Services,88.0,432.0,520.0
2019,Port Melbourne,Cafes and Restaurants,765.0,414.0,1179.0
2019,South Yarra,Cafes and Restaurants,663.0,136.0,799.0
2019,Southbank,Cafes and Restaurants,14135.0,3948.0,18083.0
2019,Southbank,"Pubs, Taverns and Bars",983.0,360.0,1343.0
2019,Southbank,Takeaway Food Services,139.0,46.0,185.0
2019,West Melbourne,Cafes and Restaurants,1212.0,325.0,1537.0
2019,West Melbourne,"Pubs, Taverns and Bars",929.0,163.0,1092.0
2019,West Melbourne,Takeaway Food Services,157.0,38.0,195.0
